teryt_pow,kat_wiek,total,males,females
0261,0 - 4,2885.0,1483,1402
0261,5 - 9,3224.0,1646,1578
0261,10 - 14,3422.0,1758,1664
0261,15 - 19,3028.0,1529,1499
0261,20 - 24,3162.0,1554,1608
0261,25 - 29,3947.0,1999,1948
0261,30 - 34,4888.0,2427,2461
0261,35 - 39,6357.0,3245,3112
0261,40 - 44,6416.0,3206,3210
0261,45 - 49,5465.0,2680,2785
0261,50 - 54,4452.0,2183,2269
0261,55 - 59,4657.0,2143,2514
0261,60 - 64,6372.0,2800,3572
0261,65 - 69,7031.0,2978,4053
0261,70 - 74,5379.0,2115,3264
0261,75 - 79,2637.0,1021,1616
0261,80 - 84,2183.0,679,1504
0261,85 i więcej,2302.0,650,1652
0262,0 - 4,4491.0,2312,2179
0262,5 - 9,4515.0,2327,2188
0262,10 - 14,4838.0,2507,2331
0262,15 - 19,4086.0,2124,1962
0262,20 - 24,4559.0,2380,2179
0262,25 - 29,5611.0,2907,2704
0262,30 - 34,6892.0,3438,3454
0262,35 - 39,8298.0,4218,4080
0262,40 - 44,7954.0,3926,4028
0262,45 - 49,7024.0,3459,3565
0262,50 - 54,5743.0,2768,2975
0262,55 - 59,5823.0,2727,3096
0262,60 - 64,7349.0,3244,4105
0262,65 - 69,7712.0,3241,4471
0262,70 - 74,6050.0,2456,3594
0262,75 - 79,2661.0,994,1667
0262,80 - 84,2276.0,724,1552
0262,85 i więcej,2076.0,526,1550
0264,0 - 4,36269.0,18506,17763
0264,5 - 9,31460.0,16353,15107
0264,10 - 14,29642.0,15106,14536
0264,15 - 19,22466.0,11304,11162
0264,20 - 24,23109.0,11683,11426
0264,25 - 29,31496.0,15318,16178
0264,30 - 34,55764.0,26368,29396
0264,35 - 39,68333.0,33626,34707
0264,40 - 44,56458.0,28052,28406
0264,45 - 49,44665.0,21934,22731
0264,50 - 54,32478.0,15842,16636
0264,55 - 59,31721.0,14862,16859
0264,60 - 64,40396.0,18070,22326
0264,65 - 69,45288.0,19152,26136
0264,70 - 74,37465.0,15131,22334
0264,75 - 79,18866.0,7114,11752
0264,80 - 84,16363.0,5466,10897
0264,85 i więcej,18962.0,5466,13496
0265,0 - 4,3922.0,2021,1901
0265,5 - 9,4308.0,2207,2101
0265,10 - 14,4992.0,2538,2454
0265,15 - 19,4528.0,2338,2190
0265,20 - 24,4809.0,2415,2394
0265,25 - 29,5958.0,3032,2926
0265,30 - 34,7064.0,3673,3391
0265,35 - 39,9062.0,4567,4495
0265,40 - 44,8913.0,4619,4294
0265,45 - 49,7288.0,3631,3657
0265,50 - 54,6115.0,2997,3118
0265,55 - 59,6925.0,3234,3691
0265,60 - 64,9699.0,4441,5258
0265,65 - 69,9318.0,3972,5346
0265,70 - 74,6758.0,2724,4034
0265,75 - 79,3263.0,1163,2100
0265,80 - 84,3150.0,995,2155
0265,85 i więcej,2872.0,737,2135
0201,0 - 4,4097.0,2161,1936
0201,5 - 9,4275.0,2138,2137
0201,10 - 14,4872.0,2507,2365
0201,15 - 19,4181.0,2149,2032
0201,20 - 24,4659.0,2446,2213
0201,25 - 29,5629.0,2805,2824
0201,30 - 34,6679.0,3417,3262
0201,35 - 39,7308.0,3784,3524
0201,40 - 44,7268.0,3672,3596
0201,45 - 49,6613.0,3335,3278
0201,50 - 54,5236.0,2637,2599
0201,55 - 59,5495.0,2701,2794
0201,60 - 64,6636.0,3154,3482
0201,65 - 69,6163.0,2782,3381
0201,70 - 74,4635.0,1955,2680
0201,75 - 79,2194.0,805,1389
0201,80 - 84,1883.0,599,1284
0201,85 i więcej,1751.0,465,1286
0202,0 - 4,3832.0,1921,1911
0202,5 - 9,4271.0,2199,2072
0202,10 - 14,4783.0,2396,2387
0202,15 - 19,4199.0,2152,2047
0202,20 - 24,4645.0,2362,2283
0202,25 - 29,5737.0,2938,2799
0202,30 - 34,6684.0,3384,3300
0202,35 - 39,8090.0,4140,3950
0202,40 - 44,8111.0,4121,3990
0202,45 - 49,7092.0,3587,3505
0202,50 - 54,5871.0,2948,2923
0202,55 - 59,6359.0,3087,3272
0202,60 - 64,8030.0,3747,4283
0202,65 - 69,7842.0,3470,4372
0202,70 - 74,5812.0,2439,3373
0202,75 - 79,2726.0,995,1731
0202,80 - 84,2526.0,699,1827
0202,85 i więcej,2730.0,666,2064
0203,0 - 4,3742.0,1916,1826
0203,5 - 9,4338.0,2218,2120
0203,10 - 14,5138.0,2579,2559
0203,15 - 19,4344.0,2230,2114
0203,20 - 24,4518.0,2294,2224
0203,25 - 29,4961.0,2530,2431
0203,30 - 34,5922.0,3036,2886
0203,35 - 39,7257.0,3730,3527
0203,40 - 44,7758.0,3911,3847
0203,45 - 49,6627.0,3364,3263
0203,50 - 54,4835.0,2404,2431
0203,55 - 59,4854.0,2229,2625
0203,60 - 64,6375.0,2943,3432
0203,65 - 69,6958.0,3146,3812
0203,70 - 74,5592.0,2460,3132
0203,75 - 79,2180.0,940,1240
0203,80 - 84,1570.0,556,1014
0203,85 i więcej,1220.0,334,886
0204,0 - 4,1475.0,736,739
0204,5 - 9,1639.0,845,794
0204,10 - 14,1906.0,1003,903
0204,15 - 19,1842.0,957,885
0204,20 - 24,2095.0,1065,1030
0204,25 - 29,2479.0,1235,1244
0204,30 - 34,2411.0,1298,1113
0204,35 - 39,2633.0,1379,1254
0204,40 - 44,2540.0,1331,1209
0204,45 - 49,2384.0,1205,1179
0204,50 - 54,2070.0,1055,1015
0204,55 - 59,2136.0,1060,1076
0204,60 - 64,2536.0,1241,1295
0204,65 - 69,2320.0,1109,1211
0204,70 - 74,1772.0,822,950
0204,75 - 79,816.0,323,493
0204,80 - 84,623.0,193,430
0204,85 i więcej,685.0,140,545
0205,0 - 4,2081.0,1064,1017
0205,5 - 9,2165.0,1115,1050
0205,10 - 14,2596.0,1334,1262
0205,15 - 19,2255.0,1197,1058
0205,20 - 24,2561.0,1295,1266
0205,25 - 29,3042.0,1577,1465
0205,30 - 34,3461.0,1849,1612
0205,35 - 39,4103.0,2020,2083
0205,40 - 44,3990.0,2042,1948
0205,45 - 49,3433.0,1782,1651
